,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CITY,COUNTY,ZIPCODE,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,REGULATING_AGENCY,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED,viol_duration,respose_time,issue_action_time,NUM_ACTIVE_ISSUES
0,CA0210001,LAKE ALPINE WATER COMPANY,ARNOLD,ALPINE,95223,COMMUNITY,350,485,DISTRICT 10 - STOCKTON,1210014,"MCL,  AVERAGE",TOTAL HALOACETIC ACIDS (HAA5),.06580000 MG/L,0.060 MG/L,2012-07-01,2012-09-30,1310029,2012-10-02,FORMAL ENFORCEMENT ACTION ISSUED,91.0,93.0,-2.0,0
1,CA0210001,LAKE ALPINE WATER COMPANY,ARNOLD,ALPINE,95223,COMMUNITY,350,485,DISTRICT 10 - STOCKTON,9710011,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.062 MG/L,0.060 MG/L,2016-07-01,2016-09-30,9910010,2016-09-07,FORMAL ENFORCEMENT ACTION ISSUED,91.0,68.0,23.0,1
2,CA0210001,LAKE ALPINE WATER COMPANY,ARNOLD,ALPINE,95223,COMMUNITY,350,485,DISTRICT 10 - STOCKTON,9710012,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.070 MG/L,0.060 MG/L,2016-10-01,2016-12-31,9910010,2016-09-07,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-24.0,115.0,2
3,CA0210001,LAKE ALPINE WATER COMPANY,ARNOLD,ALPINE,95223,COMMUNITY,350,485,DISTRICT 10 - STOCKTON,9710013,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.095 MG/L,0.060 MG/L,2017-01-01,2017-03-31,9910010,2016-09-07,FORMAL ENFORCEMENT ACTION ISSUED,89.0,-116.0,205.0,3
4,CA0210001,LAKE ALPINE WATER COMPANY,ARNOLD,ALPINE,95223,COMMUNITY,350,485,DISTRICT 10 - STOCKTON,9710014,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.096 MG/L,0.060 MG/L,2017-04-01,2017-06-30,9910010,2016-09-07,FORMAL ENFORCEMENT ACTION ISSUED,90.0,-206.0,296.0,4
5,CA0210001,LAKE ALPINE WATER COMPANY,ARNOLD,ALPINE,95223,COMMUNITY,350,485,DISTRICT 10 - STOCKTON,9710015,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.086 MG/L,0.060 MG/L,2017-07-01,2017-09-30,9910010,2016-09-07,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-297.0,388.0,5
6,CA0210001,LAKE ALPINE WATER COMPANY,ARNOLD,ALPINE,95223,COMMUNITY,350,485,DISTRICT 10 - STOCKTON,9710016,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.0758 MG/L,0.060 MG/L,2017-10-01,2017-12-31,9910010,2016-09-07,FORMAL ENFORCEMENT ACTION ISSUED,91.0,-389.0,480.0,6
7,CA0310002,"AWA, IONE",JACKSON,AMADOR,95642,COMMUNITY,6560,1882,DISTRICT 10 - STOCKTON,9310004,"MCL, LRAA",TTHM,0.084 MG/L,0.080 MG/L,2017-01-01,2017-03-31,9810005,2017-03-08,FORMAL ENFORCEMENT ACTION ISSUED,89.0,66.0,23.0,0
8,CA0310004,"PLYMOUTH, CITY OF",PLYMOUTH,AMADOR,95669,COMMUNITY,1060,495,DISTRICT 10 - STOCKTON,9910019,"MCL, LRAA",TTHM,0.081 MG/L,0.080 MG/L,2017-04-01,2017-06-30,9710009,2017-08-03,FORMAL ENFORCEMENT ACTION ISSUED,90.0,124.0,-34.0,0
9,CA0310005,PINE GROVE COMM SERV DIST,PINE GROVE,AMADOR,95665,COMMUNITY,846,386,DISTRICT 10 - STOCKTON,9410003,"MCL, LRAA",TTHM,0.0815 MG/L,0.080 MG/L,2014-07-01,2014-09-30,9510004,2014-10-23,FORMAL ENFORCEMENT ACTION ISSUED,91.0,114.0,-23.0,0
