county,issue_year,n_infractions_issued,median_income,pop
ALAMEDA,2012,NA,71516,1554446
ALAMEDA,2013,NA,72112,1575797
ALAMEDA,2014,NA,73775,1599685
ALAMEDA,2015,NA,75619,1619679
ALAMEDA,2016,NA,79831,1637712
ALAMEDA,2017,NA,85743,1655752
ALPINE,2012,1,59931,1166
ALPINE,2013,NA,58636,1164
ALPINE,2014,NA,61343,1163
ALPINE,2015,NA,52917,1157
ALPINE,2016,2,62375,1148
ALPINE,2017,4,63438,1143
AMADOR,2012,5,53462,37746
AMADOR,2013,NA,53684,37582
AMADOR,2014,1,52964,37447
AMADOR,2015,NA,54171,37314
AMADOR,2016,3,57032,37191
AMADOR,2017,3,60636,37267
BUTTE,2012,1,43339,221797
BUTTE,2013,NA,43752,222229
BUTTE,2014,NA,43165,223899
BUTTE,2015,NA,43444,224363
BUTTE,2016,NA,44366,225125
BUTTE,2017,1,46516,226478
BUTTE,2018,5,NA,227812
CALAVERAS,2012,NA,54686,45305
CALAVERAS,2013,NA,55295,45116
CALAVERAS,2014,NA,54936,45009
CALAVERAS,2015,1,53233,44899
CALAVERAS,2016,1,53502,44791
CALAVERAS,2017,NA,54800,44818
COLUSA,2012,4,52165,21781
COLUSA,2013,4,52158,21972
COLUSA,2014,3,50503,22139
COLUSA,2015,3,52168,22271
COLUSA,2016,4,54946,22408
COLUSA,2017,4,56481,22612
COLUSA,2018,2,NA,22800
CONTRA COSTA,2012,NA,78187,1075665
CONTRA COSTA,2013,4,78756,1089656
CONTRA COSTA,2014,9,79799,1102941
CONTRA COSTA,2015,8,80185,1116882
CONTRA COSTA,2016,8,82881,1129894
CONTRA COSTA,2017,4,88456,1143494
CONTRA COSTA,2018,2,NA,1156897
DEL NORTE,2012,NA,39626,27996
DEL NORTE,2013,NA,37909,27543
DEL NORTE,2014,NA,39302,27235
DEL NORTE,2015,NA,40847,27119
DEL NORTE,2016,1,42363,27040
DEL NORTE,2017,NA,41287,27063
EL DORADO,2012,1,70117,181098
EL DORADO,2013,NA,69297,182280
EL DORADO,2014,2,68507,182547
EL DORADO,2015,2,69584,183140
EL DORADO,2016,1,72586,184180
EL DORADO,2017,NA,74885,185090
FRESNO,2012,171,45741,950634
FRESNO,2013,205,45563,959506
FRESNO,2014,187,45201,969410
FRESNO,2015,189,45233,979357
FRESNO,2016,142,45963,989183
FRESNO,2017,147,48730,999902
FRESNO,2018,108,NA,1010872
GLENN,2012,NA,42641,28508
GLENN,2013,NA,43023,28684
GLENN,2014,NA,40106,28828
GLENN,2015,NA,39349,28960
GLENN,2016,NA,41699,29073
GLENN,2017,NA,46260,29204
HUMBOLDT,2012,3,40830,134840
HUMBOLDT,2013,NA,41426,134923
HUMBOLDT,2014,8,42153,134730
HUMBOLDT,2015,NA,42197,135090
HUMBOLDT,2016,17,42685,136086
HUMBOLDT,2017,3,43718,136835
IMPERIAL,2012,26,41255,179414
IMPERIAL,2013,21,41807,180300
IMPERIAL,2014,17,41772,183179
IMPERIAL,2015,15,41079,185328
IMPERIAL,2016,20,42560,187157
IMPERIAL,2017,13,44779,189376
INYO,2012,8,45000,18569
INYO,2013,20,44796,18585
INYO,2014,28,45625,18626
INYO,2015,13,45955,18640
INYO,2016,9,47278,18649
INYO,2017,8,51500,18693
INYO,2018,4,NA,18734
KERN,2012,131,47727,858271
KERN,2013,138,48552,868594
KERN,2014,151,48574,876668
KERN,2015,134,49026,883327
KERN,2016,172,49788,888994
KERN,2017,175,50826,897727
KERN,2018,226,NA,907499
KINGS,2012,16,48761,149973
KINGS,2013,22,48133,150276
KINGS,2014,32,47341,149433
KINGS,2015,22,46481,149702
KINGS,2016,25,47241,149407
KINGS,2017,18,49742,150441
KINGS,2018,14,NA,151675
KINGS,2019,1,NA,153029
LAKE,2012,2,38147,64839
LAKE,2013,5,36548,64781
LAKE,2014,1,35997,65191
LAKE,2015,5,35578,65180
LAKE,2016,4,36132,65128
LAKE,2017,1,40446,65161
LAKE,2018,5,NA,65220
LASSEN,2012,NA,51921,33011
LASSEN,2013,NA,53107,32295
LASSEN,2014,NA,53351,31841
LASSEN,2015,NA,51555,30969
LASSEN,2016,NA,51457,30645
LASSEN,2017,NA,54083,30652
LOS ANGELES,2012,8,56241,9988287
LOS ANGELES,2013,5,55909,10055477
LOS ANGELES,2014,18,55870,10124684
LOS ANGELES,2015,24,56196,10185487
LOS ANGELES,2016,18,57952,10229245
LOS ANGELES,2017,22,61015,10288515
LOS ANGELES,2018,18,NA,10344538
MADERA,2012,107,47937,150814
MADERA,2013,109,45625,152235
MADERA,2014,126,45490,154181
MADERA,2015,76,45073,154956
MADERA,2016,86,45742,155693
MADERA,2017,88,48210,157296
MADERA,2018,31,NA,158992
MARIN,2012,8,90962,255765
MARIN,2013,8,90839,258569
MARIN,2014,4,91529,261033
MARIN,2015,9,93257,262105
MARIN,2016,3,100310,263257
MARIN,2017,NA,104703,264413
MARIN,2018,2,NA,265262
MARIPOSA,2012,8,52584,18223
MARIPOSA,2013,3,49820,18154
MARIPOSA,2014,NA,50560,18127
MARIPOSA,2015,NA,47681,18088
MARIPOSA,2016,1,49265,18055
MARIPOSA,2017,1,51385,18058
MENDOCINO,2012,1,43721,87976
MENDOCINO,2013,2,43469,88064
MENDOCINO,2014,4,43290,88523
MENDOCINO,2015,14,42980,88429
MENDOCINO,2016,10,43510,88995
MENDOCINO,2017,8,46528,89329
MENDOCINO,2018,8,NA,89664
MERCED,2012,NA,43565,262919
MERCED,2013,5,42591,264783
MERCED,2014,10,43066,267714
MERCED,2015,10,42462,269729
MERCED,2016,7,44397,272610
MERCED,2017,4,46338,275926
MERCED,2018,56,NA,279221
MODOC,2012,NA,37482,9634
MODOC,2013,NA,36212,9603
MODOC,2014,NA,38560,9564
MODOC,2015,NA,37860,9507
MODOC,2016,NA,41194,9469
MODOC,2017,NA,39296,9431
MONO,2012,14,61868,14122
MONO,2013,16,61757,13902
MONO,2014,9,61814,13924
MONO,2015,13,56944,13818
MONO,2016,12,58937,13785
MONO,2017,7,60595,13827
MONO,2018,3,NA,13877
MONTEREY,2012,123,60143,423881
MONTEREY,2013,160,59168,426453
MONTEREY,2014,150,58582,429797
MONTEREY,2015,175,58783,436242
MONTEREY,2016,125,60889,441129
MONTEREY,2017,102,63249,445408
MONTEREY,2018,54,NA,449473
NAPA,2012,2,69571,138655
NAPA,2013,4,70443,139298
NAPA,2014,1,70925,140646
NAPA,2015,10,71379,141546
NAPA,2016,10,74609,142269
NAPA,2017,12,79637,142898
NAPA,2018,8,NA,143611
NEVADA,2012,2,57382,98068
NEVADA,2013,NA,57353,97727
NEVADA,2014,NA,56949,98354
NEVADA,2015,4,56521,98190
NEVADA,2016,NA,57429,98552
NEVADA,2017,1,60610,98847
ORANGE,2012,NA,75566,3084036
ORANGE,2013,NA,75422,3110802
ORANGE,2014,NA,75998,3137744
ORANGE,2015,NA,76509,3161218
ORANGE,2016,NA,78145,3181371
ORANGE,2017,NA,81851,3201395
PLACER,2012,NA,73356,359890
PLACER,2013,NA,72725,364242
PLACER,2014,NA,73747,368211
PLACER,2015,NA,73948,370738
PLACER,2016,1,76926,376092
PLACER,2017,NA,80488,380976
PLACER,2018,1,NA,386007
PLUMAS,2012,13,45358,19883
PLUMAS,2013,18,45794,19769
PLUMAS,2014,12,48032,19692
PLUMAS,2015,12,47333,19586
PLUMAS,2016,20,50125,19494
PLUMAS,2017,10,50266,19434
RIVERSIDE,2012,15,57096,2253317
RIVERSIDE,2013,21,56529,2276765
RIVERSIDE,2014,27,56592,2305796
RIVERSIDE,2015,12,56603,2329256
RIVERSIDE,2016,16,57972,2360727
RIVERSIDE,2017,22,60807,2395487
RIVERSIDE,2018,22,NA,2431703
RIVERSIDE,2019,1,NA,2468955
SACRAMENTO,2012,58,55846,1445230
SACRAMENTO,2013,46,55064,1455602
SACRAMENTO,2014,46,55615,1473817
SACRAMENTO,2015,38,55987,1489952
SACRAMENTO,2016,31,57509,1506677
SACRAMENTO,2017,17,60239,1524524
SAN BENITO,2012,NA,63939,56333
SAN BENITO,2013,2,66237,56750
SAN BENITO,2014,3,67874,57166
SAN BENITO,2015,3,71077,57584
SAN BENITO,2016,12,73814,58014
SAN BENITO,2017,19,80760,58519
SAN BENITO,2018,12,NA,59041
SAN BERNARDINO,2012,35,54750,2077560
SAN BERNARDINO,2013,39,54090,2092149
SAN BERNARDINO,2014,38,54100,2111913
SAN BERNARDINO,2015,44,53433,2129851
SAN BERNARDINO,2016,50,54469,2147933
SAN BERNARDINO,2017,51,57156,2168360
SAN BERNARDINO,2018,51,NA,2189763
SAN DIEGO,2012,9,63373,3174446
SAN DIEGO,2013,28,62962,3208946
SAN DIEGO,2014,48,63996,3248547
SAN DIEGO,2015,45,64309,3275084
SAN DIEGO,2016,62,66529,3300891
SAN DIEGO,2017,47,70588,3327562
SAN DIEGO,2018,20,NA,3353609
SAN FRANCISCO,2012,NA,73802,832605
SAN FRANCISCO,2013,NA,75604,843735
SAN FRANCISCO,2014,NA,78378,853732
SAN FRANCISCO,2015,NA,81294,863108
SAN FRANCISCO,2016,NA,87701,871185
SAN FRANCISCO,2017,NA,96265,879517
SAN JOAQUIN,2012,32,53895,700414
SAN JOAQUIN,2013,35,53380,705767
SAN JOAQUIN,2014,23,53253,717238
SAN JOAQUIN,2015,16,53274,727547
SAN JOAQUIN,2016,10,55045,738873
SAN JOAQUIN,2017,10,57813,750002
SAN JOAQUIN,2018,9,NA,761083
SAN LUIS OBISPO,2012,9,59628,272608
SAN LUIS OBISPO,2013,9,58697,273494
SAN LUIS OBISPO,2014,8,59454,276075
SAN LUIS OBISPO,2015,10,60691,276844
SAN LUIS OBISPO,2016,13,64014,278917
SAN LUIS OBISPO,2017,11,67175,280822
SAN LUIS OBISPO,2018,11,NA,282778
SAN MATEO,2012,6,87751,740568
SAN MATEO,2013,2,88202,748761
SAN MATEO,2014,5,91421,756371
SAN MATEO,2015,11,93623,764379
SAN MATEO,2016,3,98546,768122
SAN MATEO,2017,2,105667,774974
SANTA BARBARA,2012,4,62723,430287
SANTA BARBARA,2013,6,62779,435241
SANTA BARBARA,2014,1,63409,440129
SANTA BARBARA,2015,5,63985,444900
SANTA BARBARA,2016,NA,65161,448353
SANTA BARBARA,2017,1,68023,451688
SANTA BARBARA,2018,1,NA,455205
SANTA CLARA,2012,NA,90747,1840218
SANTA CLARA,2013,1,91702,1866208
SANTA CLARA,2014,1,93854,1890929
SANTA CLARA,2015,5,96310,1915102
SANTA CLARA,2016,2,101173,1930215
SANTA CLARA,2017,3,106761,1952286
SANTA CRUZ,2012,29,66571,267672
SANTA CRUZ,2013,32,66519,270416
SANTA CRUZ,2014,55,66923,271689
SANTA CRUZ,2015,58,67256,274697
SANTA CRUZ,2016,56,70088,276249
SANTA CRUZ,2017,10,73663,278335
SANTA CRUZ,2018,8,NA,280378
SHASTA,2012,10,44396,177962
SHASTA,2013,11,44651,178725
SHASTA,2014,NA,44556,179251
SHASTA,2015,1,44620,178777
SHASTA,2016,2,45582,178208
SHASTA,2017,2,47258,178359
SIERRA,2012,6,42500,3206
SIERRA,2013,6,39009,3187
SIERRA,2014,4,43107,3161
SIERRA,2015,11,42833,3147
SIERRA,2016,4,43984,3140
SIERRA,2017,NA,44190,3138
SISKIYOU,2012,NA,37948,44765
SISKIYOU,2013,NA,37709,44652
SISKIYOU,2014,2,37495,44606
SISKIYOU,2015,NA,37170,44500
SISKIYOU,2016,NA,38524,44372
SISKIYOU,2017,NA,40884,44325
SISKIYOU,2018,2,NA,44292
SOLANO,2012,8,69006,417443
SOLANO,2013,8,67177,420701
SOLANO,2014,8,67341,425430
SOLANO,2015,4,66828,429267
SOLANO,2016,6,69227,434102
SOLANO,2017,3,72950,439320
SONOMA,2012,13,63565,489752
SONOMA,2013,32,63356,494416
SONOMA,2014,31,63799,497908
SONOMA,2015,29,64240,501182
SONOMA,2016,25,66833,503953
SONOMA,2017,14,71769,507323
SONOMA,2018,10,NA,510930
STANISLAUS,2012,48,49866,523596
STANISLAUS,2013,58,49297,527687
STANISLAUS,2014,47,49573,531720
STANISLAUS,2015,46,50125,538372
STANISLAUS,2016,49,51591,545008
STANISLAUS,2017,43,54260,551712
STANISLAUS,2018,47,NA,558508
SUTTER,2012,22,50510,96047
SUTTER,2013,21,50408,96540
SUTTER,2014,15,51527,97101
SUTTER,2015,16,52017,97618
SUTTER,2016,4,52943,98191
SUTTER,2017,NA,54347,98992
TEHAMA,2012,5,40307,63711
TEHAMA,2013,12,41924,63731
TEHAMA,2014,10,42369,63845
TEHAMA,2015,10,41001,63970
TEHAMA,2016,8,40687,64098
TEHAMA,2017,7,42512,64313
TEHAMA,2018,2,NA,64545
TRINITY,2012,4,36569,13704
TRINITY,2013,4,36890,13667
TRINITY,2014,4,36862,13613
TRINITY,2015,2,34974,13562
TRINITY,2016,4,35270,13482
TRINITY,2017,1,36563,13447
TULARE,2012,98,43803,452135
TULARE,2013,140,42708,455854
TULARE,2014,66,42863,459831
TULARE,2015,49,42031,463291
TULARE,2016,97,42789,468235
TULARE,2017,104,44871,473308
TULARE,2018,123,NA,478239
TUOLUMNE,2012,NA,48169,55033
TUOLUMNE,2013,NA,48426,54894
